    x         y
    118879    887164
    118415    867117
    118274    902572
    117577    883724
    117036    884249
    116601    902518
    115972    868534
    114153    901865
    110019    876400
    103833    890086
    100107    900861
    119722    893967
    119921    862646
    120054    913685
    120600    913279
    120822    868826
    120926    906811
    120976    872533
    121652    855965
    121844    882231
    122428    905455
    122438    864549
    122855    890968
    123496    891178
    123550    904817
    123603    878926
    123610    862454
    123786    897070
    123982    876036
    124042    882951
    124108    891640
    124279    916328
    124497    874001
    124695    883268
    124955    903487
    125073    892936
    125099    882557
    126053    874483
    126152    863330
    126196    898864
    126528    896628
    126777    909562
    127065    871722
    127310    882999
    127350    895920
    127398    886607
    127729    896799
    127890    877590
    128015    868205
    128089    910711
    128282    877643
    128446    885700
    128488    868563
    128762    907128
    128834    867596
    128858    870199
    128976    884498
    129019    902031
    129036    889839
    129219    862393
    129451    886489
    129562    884794
    129643    874234
    129737    883826
    129787    866067
    129872    876679
    130328    882809
    130378    910269
    130440    873369
    130676    877824
    130714    871064
    130842    911558
    130922    891246
    130983    861531
    131088    879214
    131118    882688
    131228    868895
    131401    907677
    131419    873911
    131786    905886
    131817    896937
    131856    865293
    132398    862097
    132495    893493
    132599    875997
    132865    892346
    132915    875829
    132949    735112
    133131    743026
    133229    878251
    133355    737503
    133462    868554
    133462    731376
    133466    893343
    133481    903503
    133513    870576
    133606    895752
    133609    903553
    133672    886215
    133701    868820
    133741    734205
    133774    743896
    133798    882716
    133863    900952
    133898    735954
    133970    893400
    133999    874195
    134011    869824
    134078    860694
    134089    445576
    134143    732160
    134157    874408
    134163    734303
    134167    917110
    134201    890870
    134258    916162
    134299    885228
    134301    885559
    134433    877230
    134441    742315
    134455    876400
    134502    735387
    134528    876480
    134541    881641
    134632    734028
    134638    737388
    134646    886888
    134714    890524
    134733    874623
    134739    737879
    134753    737641
    134793    735822
    134863    733311
    134874    863108
    134896    896669
    134949    905679
    134972    900538
    134996    886100
    135010    735494
    135097    879261
    135107    734080
    135124    736848
    135164    903453
    135170    887981
    135265    739916
    135364    877991
    199145    792704
    199145    919751
    199146    777263
    199158    894319
    199206    770705
    199210    889044
    199256    893331
    199268    883278
    199273    792710
    199281    913713
    199283    904731
    199283    875227
    199292    900709
    199301    330891
    199306    897909
    199307    781558
    199315    816422
    199328    856234
    199332    799235
    199333    885352
    199337    870587
    199371    879735
    199375    871436
    199388    875134
    199393    822232
    199410    822696
    199425    887749
    199438    881267
    199466    894381
    199470    883669
    199511    882700
    199516    814646
